Annotation_Label,CL_Label,CL_ID,CL_Match
common lymphoid progenitor,common lymphoid progenitor,CL:0000051,
totipotent stem cell,totipotent stem cell,CL:0000052,
bone matrix secreting cell,bone matrix secreting cell,CL:0000054,
non-terminally differentiated cell,non-terminally differentiated cell,CL:0000055,
myoblast,myoblast,CL:0000056,
fibroblast,fibroblast,CL:0000057,
chondroblast,chondroblast,CL:0000058,
ameloblast,ameloblast,CL:0000059,
odontoblast,odontoblast,CL:0000060,
cementoblast,cementoblast,CL:0000061,
osteoblast,osteoblast,CL:0000062,
ciliated cell,ciliated cell,CL:0000064,
ependymal cell,ependymal cell,CL:0000065,
ciliated epithelial cell,ciliated epithelial cell,CL:0000067,
duct epithelial cell,duct epithelial cell,CL:0000068,
branched duct epithelial cell,branched duct epithelial cell,CL:0000069,
blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,
non-branched duct epithelial cell,non-branched duct epithelial cell,CL:0000072,
barrier epithelial cell,barrier epithelial cell,CL:0000073,
columnar/cuboidal epithelial cell,columnar/cuboidal epithelial cell,CL:0000075,
squamous epithelial cell,squamous epithelial cell,CL:0000076,
mesothelial cell,mesothelial cell,CL:0000077,
peridermal cell,peridermal cell,CL:0000078,
stratified epithelial cell,stratified epithelial cell,CL:0000079,
circulating cell,circulating cell,CL:0000080,
blood cell,blood cell,CL:0000081,
epithelial cell of lung,epithelial cell of lung,CL:0000082,
epithelial cell of pancreas,epithelial cell of pancreas,CL:0000083,
T cell,T cell,CL:0000084,
germ line stem cell (sensu Vertebrata),obsolete germ line stem cell (sensu Vertebrata),CL:0000085,
germ line stem cell (sensu Nematoda and Protostomia),obsolete germ line stem cell (sensu Nematoda and Protostomia),CL:0000086,
male germ line stem cell (sensu Nematoda and Protostomia),obsolete male germ line stem cell (sensu Nematoda and Protostomia),CL:0000087,
female germ line stem cell (sensu Nematoda and Protostomia),obsolete female germ line stem cell (sensu Nematoda and Protostomia),CL:0000088,
male germ line stem cell (sensu Vertebrata),obsolete male germ line stem cell (sensu Vertebrata),CL:0000089,
female germ line stem cell (sensu Vertebrata),obsolete female germ line stem cell (sensu Vertebrata),CL:0000090,
Kupffer cell,Kupffer cell,CL:0000091,
osteoclast,osteoclast,CL:0000092,
granulocyte,granulocyte,CL:0000094,
neuron associated cell,neuron associated cell,CL:0000095,
mature neutrophil,mature neutrophil,CL:0000096,
mast cell,mast cell,CL:0000097,
sensory epithelial cell,sensory epithelial cell,CL:0000098,
interneuron,interneuron,CL:0000099,
motor neuron,motor neuron,CL:0000100,
sensory neuron,sensory neuron,CL:0000101,
polymodal neuron,polymodal neuron,CL:0000102,
bipolar neuron,bipolar neuron,CL:0000103,
multipolar neuron,multipolar neuron,CL:0000104,
pseudounipolar neuron,pseudounipolar neuron,CL:0000105,
unipolar neuron,unipolar neuron,CL:0000106,
autonomic neuron,autonomic neuron,CL:0000107,
cholinergic neuron,cholinergic neuron,CL:0000108,
adrenergic neuron,adrenergic neuron,CL:0000109,
peptidergic neuron,peptidergic neuron,CL:0000110,
columnar neuron,columnar neuron,CL:0000112,
mononuclear phagocyte,mononuclear phagocyte,CL:0000113,
surface ectodermal cell,surface ectodermal cell,CL:0000114,
endothelial cell,endothelial cell,CL:0000115,
pioneer neuron,pioneer neuron,CL:0000116,
CNS neuron (sensu Vertebrata),CNS neuron (sensu Vertebrata),CL:0000117,
basket cell,basket cell,CL:0000118,
cerebellar Golgi cell,cerebellar Golgi cell,CL:0000119,
granule cell,granule cell,CL:0000120,
Purkinje cell,Purkinje cell,CL:0000121,
stellate neuron,stellate neuron,CL:0000122,
neuron associated cell (sensu Vertebrata),neuron associated cell (sensu Vertebrata),CL:0000123,
glial cell,glial cell,CL:0000125,
macroglial cell,macroglial cell,CL:0000126,
astrocyte,astrocyte,CL:0000127,
oligodendrocyte,oligodendrocyte,CL:0000128,
microglial cell,microglial cell,CL:0000129,
neuron associated cell (sensu Nematoda and Protostomia),neuron associated cell (sensu Nematoda and Protostomia),CL:0000130,
gut endothelial cell,gut endothelial cell,CL:0000131,
corneal endothelial cell,corneal endothelial cell,CL:0000132,
neurectodermal cell,neurectodermal cell,CL:0000133,
mesenchymal stem cell,mesenchymal stem cell,CL:0000134,
fibrocyte,fibrocyte,CL:0000135,
fat cell,fat cell,CL:0000136,
osteocyte,osteocyte,CL:0000137,
chondrocyte,chondrocyte,CL:0000138,
odontocyte,odontocyte,CL:0000140,
cementocyte,cementocyte,CL:0000141,
hyalocyte,hyalocyte,CL:0000142,
guidepost cell,guidepost cell,CL:0000143,
professional antigen presenting cell,professional antigen presenting cell,CL:0000145,
simple columnar epithelial cell,simple columnar epithelial cell,CL:0000146,
pigment cell,pigment cell,CL:0000147,
melanocyte,melanocyte,CL:0000148,
visual pigment cell,visual pigment cell,CL:0000149,
secretory cell,secretory cell,CL:0000151,
exocrine cell,exocrine cell,CL:0000152,
glycosaminoglycan secreting cell,glycosaminoglycan secreting cell,CL:0000153,
protein secreting cell,protein secreting cell,CL:0000154,
peptic cell,peptic cell,CL:0000155,
surfactant secreting cell,surfactant secreting cell,CL:0000157,
club cell,club cell,CL:0000158,
seromucus secreting cell,seromucus secreting cell,CL:0000159,
goblet cell,goblet cell,CL:0000160,
acid secreting cell,obsolete acid secreting cell,CL:0000161,
parietal cell,parietal cell,CL:0000162,
endocrine cell,endocrine cell,CL:0000163,
enteroendocrine cell,enteroendocrine cell,CL:0000164,
neuroendocrine cell,neuroendocrine cell,CL:0000165,
chromaffin cell,chromaffin cell,CL:0000166,
peptide hormone secreting cell,peptide hormone secreting cell,CL:0000167,
insulin secreting cell,insulin secreting cell,CL:0000168,
type B pancreatic cell,type B pancreatic cell,CL:0000169,
glucagon secreting cell,glucagon secreting cell,CL:0000170,
pancreatic A cell,pancreatic A cell,CL:0000171,
somatostatin secreting cell,somatostatin secreting cell,CL:0000172,
pancreatic D cell,pancreatic D cell,CL:0000173,
steroid hormone secreting cell,steroid hormone secreting cell,CL:0000174,
luteal cell,luteal cell,CL:0000175,
ecdysteroid secreting cell,ecdysteroid secreting cell,CL:0000176,
testosterone secreting cell,testosterone secreting cell,CL:0000177,
Leydig cell,Leydig cell,CL:0000178,
progesterone secreting cell,progesterone secreting cell,CL:0000179,
estradiol secreting cell,estradiol secreting cell,CL:0000180,
hepatocyte,hepatocyte,CL:0000182,
contractile cell,contractile cell,CL:0000183,
myoepithelial cell,myoepithelial cell,CL:0000185,
myofibroblast cell,myofibroblast cell,CL:0000186,
muscle cell,muscle cell,CL:0000187,
cell of skeletal muscle,cell of skeletal muscle,CL:0000188,
slow muscle cell,slow muscle cell,CL:0000189,
fast muscle cell,fast muscle cell,CL:0000190,
smooth muscle cell,smooth muscle cell,CL:0000192,
cardiac muscle cell (sensu Arthopoda),cardiac muscle cell (sensu Arthopoda),CL:0000193,
flight muscle cell,insect flight muscle cell,CL:0000196,
sensory receptor cell,sensory receptor cell,CL:0000197,
pain receptor cell,pain receptor cell,CL:0000198,
mechanoreceptor cell,mechanoreceptor cell,CL:0000199,
touch receptor cell,touch receptor cell,CL:0000200,
auditory hair cell,auditory hair cell,CL:0000202,
gravity sensitive cell,gravity sensitive cell,CL:0000203,
acceleration receptive cell,acceleration receptive cell,CL:0000204,
thermoreceptor cell,thermoreceptor cell,CL:0000205,
chemoreceptor cell,chemoreceptor cell,CL:0000206,
olfactory receptor cell,olfactory receptor cell,CL:0000207,
pH receptor cell,pH receptor cell,CL:0000208,
taste receptor cell,taste receptor cell,CL:0000209,
photoreceptor cell,photoreceptor cell,CL:0000210,
electrically active cell,electrically active cell,CL:0000211,
absorptive cell,absorptive cell,CL:0000212,
lining cell,lining cell,CL:0000213,
synovial cell,synovial cell,CL:0000214,
barrier cell,barrier cell,CL:0000215,
Sertoli cell,Sertoli cell,CL:0000216,
insulating cell,insulating cell,CL:0000217,
myelinating Schwann cell,myelinating Schwann cell,CL:0000218,
motile cell,motile cell,CL:0000219,
ectodermal cell,ectodermal cell,CL:0000221,
mesodermal cell,mesodermal cell,CL:0000222,
endodermal cell,endodermal cell,CL:0000223,
anucleate cell,anucleate cell,CL:0000225,
single nucleate cell,single nucleate cell,CL:0000226,
binucleate cell,binucleate cell,CL:0000227,
multinucleate cell,multinucleate cell,CL:0000228,
erythrocyte,erythrocyte,CL:0000232,
platelet,platelet,CL:0000233,
phagocyte,phagocyte,CL:0000234,
macrophage,macrophage,CL:0000235,
B cell,B cell,CL:0000236,
keratinizing barrier epithelial cell,keratinizing barrier epithelial cell,CL:0000237,
non keratinizing barrier epithelial cell,non keratinizing barrier epithelial cell,CL:0000238,
brush border epithelial cell,brush border epithelial cell,CL:0000239,
stratified squamous epithelial cell,stratified squamous epithelial cell,CL:0000240,
stratified cuboidal epithelial cell,stratified cuboidal epithelial cell,CL:0000241,
Merkel cell,Merkel cell,CL:0000242,
transitional epithelial cell,transitional epithelial cell,CL:0000244,
Mauthner neuron,Mauthner neuron,CL:0000246,
Rohon-Beard neuron,Rohon-Beard neuron,CL:0000247,
hatching gland cell,hatching gland cell,CL:0000249,
extramedullary cell,extramedullary cell,CL:0000251,
eurydendroid cell,eurydendroid cell,CL:0000253,
eukaryotic cell,eukaryotic cell,CL:0000255,
uric acid accumulating cell,uric acid accumulating cell,CL:0000256,
Eumycetozoan cell,Eumycetozoan cell,CL:0000257,
hyphal cell,hyphal cell,CL:0000286,
eye photoreceptor cell,eye photoreceptor cell,CL:0000287,
structural cell,structural cell,CL:0000293,
somatotropin secreting cell,somatotropin secreting cell,CL:0000295,
gamete,gamete,CL:0000300,
pole cell,pole cell,CL:0000301,
crystallin accumulating cell,crystallin accumulating cell,CL:0000306,
tracheal epithelial cell,tracheal epithelial cell,CL:0000307,
metal ion accumulating cell,metal ion accumulating cell,CL:0000308,
copper accumulating cell,copper accumulating cell,CL:0000309,
iron accumulating cell,iron accumulating cell,CL:0000310,
keratin accumulating cell,keratin accumulating cell,CL:0000311,
keratinocyte,keratinocyte,CL:0000312,
serous secreting cell,serous secreting cell,CL:0000313,
milk secreting cell,milk secreting cell,CL:0000314,
tear secreting cell,tear secreting cell,CL:0000315,
sebum secreting cell,sebum secreting cell,CL:0000317,
sweat secreting cell,sweat secreting cell,CL:0000318,
mucus secreting cell,mucus secreting cell,CL:0000319,
seminal fluid secreting cell,seminal fluid secreting cell,CL:0000321,
pneumocyte,pneumocyte,CL:0000322,
lysozyme secreting cell,lysozyme secreting cell,CL:0000323,
metanephric mesenchyme stem cell,metanephric mesenchyme stem cell,CL:0000324,
stuff accumulating cell,stuff accumulating cell,CL:0000325,
glycogen accumulating cell,glycogen accumulating cell,CL:0000326,
extracellular matrix secreting cell,extracellular matrix secreting cell,CL:0000327,
oxygen accumulating cell,oxygen accumulating cell,CL:0000329,
migratory neural crest cell,migratory neural crest cell,CL:0000333,
vegetative cell (sensu Fungi),vegetative cell (sensu Fungi),CL:0000334,
mesenchyme condensation cell,mesenchyme condensation cell,CL:0000335,
adrenal medulla chromaffin cell,adrenal medulla chromaffin cell,CL:0000336,
neuroblast (sensu Nematoda and Protostomia),neuroblast (sensu Nematoda and Protostomia),CL:0000338,
glioblast (sensu Vertebrata),glioblast (sensu Vertebrata),CL:0000339,
glioblast (sensu Nematoda and Protostomia),glioblast (sensu Nematoda and Protostomia),CL:0000340,
pigment cell (sensu Nematoda and Protostomia),pigment cell (sensu Nematoda and Protostomia),CL:0000341,
pigment cell (sensu Vertebrata),pigment cell (sensu Vertebrata),CL:0000342,
visual pigment cell (sensu Vertebrata),visual pigment cell (sensu Vertebrata),CL:0000343,
dental papilla cell,dental papilla cell,CL:0000345,
hair follicle dermal papilla cell,hair follicle dermal papilla cell,CL:0000346,
scleral cell,scleral cell,CL:0000347,
choroidal cell of the eye,choroidal cell of the eye,CL:0000348,
extraembryonic cell,extraembryonic cell,CL:0000349,
amnioserosal cell,amnioserosal cell,CL:0000350,
trophoblast cell,trophoblast cell,CL:0000351,
epiblast cell,epiblast cell,CL:0000352,
blastoderm cell,blastoderm cell,CL:0000353,
blastemal cell,blastemal cell,CL:0000354,
multi-potent skeletal muscle stem cell,multi-potent skeletal muscle stem cell,CL:0000355,
hair matrix stem cell,hair matrix stem cell,CL:0000356,
stratified epithelial stem cell,stratified epithelial stem cell,CL:0000357,
sphincter associated smooth muscle cell,sphincter associated smooth muscle cell,CL:0000358,
vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,
morula cell,morula cell,CL:0000360,
gastrula cell,gastrula cell,CL:0000361,
animal zygote,animal zygote,CL:0000365,
sheath cell (sensu Nematoda),sheath cell (sensu Nematoda),CL:0000367,
protoplast,protoplast,CL:0000371,
tormogen cell,tormogen cell,CL:0000372,
histoblast,histoblast,CL:0000373,
trichogen cell,trichogen cell,CL:0000374,
humidity receptor cell,humidity receptor cell,CL:0000376,
tracheoblast,tracheoblast,CL:0000377,
supporting cell (sensu Nematoda and Protostomia),supporting cell (sensu Nematoda and Protostomia),CL:0000378,
sensory processing neuron,sensory processing neuron,CL:0000379,
thecogen cell,thecogen cell,CL:0000380,
neurosecretory neuron,obsolete neurosecretory neuron,CL:0000381,
scolopale cell,scolopale cell,CL:0000382,
nephrogenic mesenchyme stem cell,nephrogenic mesenchyme stem cell,CL:0000383,
ligament cell,ligament cell,CL:0000384,
prohemocyte (sensu Nematoda and Protostomia),prohemocyte (sensu Nematoda and Protostomia),CL:0000385,
attachment cell,attachment cell,CL:0000386,
hemocyte (sensu Arthropoda),hemocyte (sensu Arthropoda),CL:0000387,
tendon cell,tendon cell,CL:0000388,
socket cell (sensu Nematoda),socket cell (sensu Nematoda),CL:0000389,
blood cell (sensu Nematoda and Protostomia),blood cell (sensu Nematoda and Protostomia),CL:0000390,
podocyte (sensu Diptera),obsolete podocyte (sensu Diptera),CL:0000391,
crystal cell,crystal cell,CL:0000392,
electrically responsive cell,electrically responsive cell,CL:0000393,
plasmatocyte,plasmatocyte,CL:0000394,
procrystal cell,procrystal cell,CL:0000395,
lamellocyte,lamellocyte,CL:0000396,
ganglion interneuron,ganglion interneuron,CL:0000397,
polygonal cell,obsolete polygonal cell,CL:0000398,
macrophage (sensu Diptera),obsolete macrophage (sensu Diptera),CL:0000401,
CNS interneuron,CNS interneuron,CL:0000402,
electrically signaling cell,electrically signaling cell,CL:0000404,
neuroepidermoblast,obsolete neuroepidermoblast,CL:0000405,
CNS short range interneuron,CNS short range interneuron,CL:0000406,
scolopidial ligament cell,scolopidial ligament cell,CL:0000407,
male gamete,male gamete,CL:0000408,
scolopidial sheath cell,obsolete scolopidial sheath cell,CL:0000409,
CNS long range interneuron,CNS long range interneuron,CL:0000410,
Caenorhabditis hypodermal cell,Caenorhabditis hypodermal cell,CL:0000411,
polyploid cell,polyploid cell,CL:0000412,
haploid cell,haploid cell,CL:0000413,
diploid cell,diploid cell,CL:0000415,
polytene cell,polytene cell,CL:0000416,
endopolyploid cell,endopolyploid cell,CL:0000417,
arcade cell,arcade cell,CL:0000418,
seam cell,seam cell,CL:0000419,
syncytial epithelial cell,syncytial epithelial cell,CL:0000420,
coelomocyte,coelomocyte,CL:0000421,
mitogenic signaling cell,mitogenic signaling cell,CL:0000422,
tip cell,tip cell,CL:0000423,
excretory cell,excretory cell,CL:0000424,
pore cell,pore cell,CL:0000425,
GLR cell,GLR cell,CL:0000427,
yolk cell,yolk cell,CL:0000428,
imaginal disc cell,imaginal disc cell,CL:0000429,
xanthophore cell,xanthophore cell,CL:0000430,
iridophore,iridophore,CL:0000431,
reticular cell,reticular cell,CL:0000432,
eccrine cell,eccrine cell,CL:0000434,
alkali secreting cell,alkali secreting cell,CL:0000435,
vaginal lubricant secreting cell,vaginal lubricant secreting cell,CL:0000436,
gonadtroph,gonadtroph,CL:0000437,
luteinizing hormone secreting cell,luteinizing hormone secreting cell,CL:0000438,
prolactin secreting cell,prolactin secreting cell,CL:0000439,
melanocyte stimulating hormone secreting cell,melanocyte stimulating hormone secreting cell,CL:0000440,
follicle stem cell,follicle stem cell (sensu Arthropoda),CL:0000441,
follicular dendritic cell,follicular dendritic cell,CL:0000442,
calcitonin secreting cell,calcitonin secreting cell,CL:0000443,
obliquely striated muscle cell,obliquely striated muscle cell,CL:0000444,
apoptosis fated cell,apoptosis fated cell,CL:0000445,
chief cell of parathyroid gland,chief cell of parathyroid gland,CL:0000446,
carbohydrate secreting cell,carbohydrate secreting cell,CL:0000447,
white fat cell,white fat cell,CL:0000448,
brown fat cell,brown fat cell,CL:0000449,
dendritic cell,dendritic cell,CL:0000451,
thyroid hormone secreting cell,thyroid hormone secreting cell,CL:0000452,
Langerhans cell,Langerhans cell,CL:0000453,
epinephrine secreting cell,epinephrine secreting cell,CL:0000454,
mineralocorticoid secreting cell,mineralocorticoid secreting cell,CL:0000456,
biogenic amine secreting cell,biogenic amine secreting cell,CL:0000457,
serotonin secreting cell,serotonin secreting cell,CL:0000458,
noradrenergic cell,noradrenergic cell,CL:0000459,
glucocorticoid secreting cell,glucocorticoid secreting cell,CL:0000460,
adepithelial cell,adepithelial cell,CL:0000462,
epidermal cell (sensu Arthropoda),epidermal cell (sensu Arthropoda),CL:0000463,
epidermoblast,epidermoblast,CL:0000464,
cardioblast (sensu Arthropoda),cardioblast (sensu Arthropoda),CL:0000465,
adrenocorticotropic hormone secreting cell,adrenocorticotropic hormone secreting cell,CL:0000467,
neuroglioblast (sensu Nematoda and Protostomia),neuroglioblast (sensu Nematoda and Protostomia),CL:0000468,
ganglion mother cell,ganglion mother cell,CL:0000469,
digestive enzyme secreting cell,digestive enzyme secreting cell,CL:0000470,
defensive cell,defensive cell,CL:0000473,
pericardial nephrocyte,pericardial nephrocyte,CL:0000474,
thyrotroph,thyrotroph,CL:0000476,
follicle cell of egg chamber,follicle cell of egg chamber,CL:0000477,
oxytocin stimulating hormone secreting cell,oxytocin stimulating hormone secreting cell,CL:0000478,
vasopressin stimulating hormone secreting cell,vasopressin stimulating hormone secreting cell,CL:0000479,
secretin stimulating hormone secreting cell,secretin stimulating hormone secreting cell,CL:0000480,
cholecystokin stimulating hormone secreting cell,cholecystokin stimulating hormone secreting cell,CL:0000481,
juvenile hormone secreting cell,juvenile hormone secreting cell,CL:0000482,
bombesin stimulating hormone secreting cell,bombesin stimulating hormone secreting cell,CL:0000483,
connective tissue type mast cell,connective tissue type mast cell,CL:0000484,
mucosal type mast cell,mucosal type mast cell,CL:0000485,
garland cell,garland cell,CL:0000486,
oenocyte,oenocyte,CL:0000487,
visible light photoreceptor cell,visible light photoreceptor cell,CL:0000488,
scotopic photoreceptor cell,scotopic photoreceptor cell,CL:0000489,
photopic photoreceptor cell,photopic photoreceptor cell,CL:0000490,
CD4-positive helper T cell,CD4-positive helper T cell,CL:0000492,
UV sensitive photoreceptor cell,UV sensitive photoreceptor cell,CL:0000494,
blue sensitive photoreceptor cell,blue sensitive photoreceptor cell,CL:0000495,
green sensitive photoreceptor cell,green sensitive photoreceptor cell,CL:0000496,
red sensitive photoreceptor cell,red sensitive photoreceptor cell,CL:0000497,
inhibitory interneuron,inhibitory interneuron,CL:0000498,
stromal cell,stromal cell,CL:0000499,
follicular epithelial cell,follicular epithelial cell,CL:0000500,
granulosa cell,granulosa cell,CL:0000501,
type D enteroendocrine cell,type D enteroendocrine cell,CL:0000502,
theca cell,theca cell,CL:0000503,
enterochromaffin-like cell,enterochromaffin-like cell,CL:0000504,
substance P secreting cell,substance P secreting cell,CL:0000505,
enkephalin secreting cell,enkephalin secreting cell,CL:0000506,
endorphin secreting cell,endorphin secreting cell,CL:0000507,
type G enteroendocrine cell,type G enteroendocrine cell,CL:0000508,
gastrin secreting cell,gastrin secreting cell,CL:0000509,
paneth cell,paneth cell,CL:0000510,
androgen binding protein secreting cell,androgen binding protein secreting cell,CL:0000511,
paracrine cell,paracrine cell,CL:0000512,
cardiac muscle myoblast,cardiac muscle myoblast,CL:0000513,
smooth muscle myoblast,smooth muscle myoblast,CL:0000514,
skeletal muscle myoblast,skeletal muscle myoblast,CL:0000515,
perineuronal satellite cell,perineuronal satellite cell,CL:0000516,
macrophage derived foam cell,macrophage derived foam cell,CL:0000517,
phagocyte (sensu Vertebrata),phagocyte (sensu Vertebrata),CL:0000518,
phagocyte (sensu Nematoda and Protostomia),phagocyte (sensu Nematoda and Protostomia),CL:0000519,
prokaryotic cell,prokaryotic cell,CL:0000520,
fungal cell,fungal cell,CL:0000521,
mononuclear cytotrophoblast cell,mononuclear cytotrophoblast cell,CL:0000523,
spheroplast,spheroplast,CL:0000524,
syncytiotrophoblast cell,syncytiotrophoblast cell,CL:0000525,
afferent neuron,afferent neuron,CL:0000526,
efferent neuron,efferent neuron,CL:0000527,
nitrergic neuron,nitrergic neuron,CL:0000528,
pigmented epithelial cell,pigmented epithelial cell,CL:0000529,
primary neuron,primary neuron (sensu Teleostei),CL:0000530,
primary sensory neuron,primary sensory neuron (sensu Teleostei),CL:0000531,
CAP motoneuron,CAP motoneuron,CL:0000532,
primary motor neuron,primary motor neuron (sensu Teleostei),CL:0000533,
primary interneuron,primary interneuron (sensu Teleostei),CL:0000534,
secondary neuron,secondary neuron (sensu Teleostei),CL:0000535,
secondary motor neuron,secondary motor neuron (sensu Teleostei),CL:0000536,
neuron,neuron,CL:0000540,
melanoblast,melanoblast,CL:0000541,
lymphocyte,lymphocyte,CL:0000542,
slowly adapting mechanoreceptor cell,slowly adapting mechanoreceptor cell,CL:0000544,
T-helper 1 cell,T-helper 1 cell,CL:0000545,
T-helper 2 cell,T-helper 2 cell,CL:0000546,
proerythroblast,proerythroblast,CL:0000547,
animal cell,obsolete animal cell,CL:0000548,
basophilic erythroblast,basophilic erythroblast,CL:0000549,
polychromatophilic erythroblast,polychromatophilic erythroblast,CL:0000550,
unimodal nocireceptor,unimodal nocireceptor,CL:0000551,
orthochromatic erythroblast,orthochromatic erythroblast,CL:0000552,
megakaryocyte progenitor cell,megakaryocyte progenitor cell,CL:0000553,
gastrin stimulating hormone secreting cell,gastrin stimulating hormone secreting cell,CL:0000554,
neuronal brush cell,neuronal brush cell,CL:0000555,
megakaryocyte,megakaryocyte,CL:0000556,
granulocyte monocyte progenitor cell,granulocyte monocyte progenitor cell,CL:0000557,
reticulocyte,reticulocyte,CL:0000558,
promonocyte,promonocyte,CL:0000559,
band form neutrophil,band form neutrophil,CL:0000560,
amacrine cell,amacrine cell,CL:0000561,
nucleate erythrocyte,nucleate erythrocyte,CL:0000562,
endospore,endospore,CL:0000563,
neutrophilic promyelocyte,neutrophilic promyelocyte,CL:0000564,
fat body cell,fat body cell,CL:0000565,
angioblastic mesenchymal cell,angioblastic mesenchymal cell,CL:0000566,
polymodal nocireceptor,polymodal nocireceptor,CL:0000567,
amine precursor uptake and decarboxylation cell,amine precursor uptake and decarboxylation cell,CL:0000568,
cardiac mesenchymal cell,cardiac mesenchymal cell,CL:0000569,
parafollicular cell,parafollicular cell,CL:0000570,
leucophore,leucophore,CL:0000571,
retinal cone cell,retinal cone cell,CL:0000573,
erythrophore,erythrophore,CL:0000574,
corneal epithelial cell,corneal epithelial cell,CL:0000575,
monocyte,monocyte,CL:0000576,
type EC enteroendocrine cell,type EC enteroendocrine cell,CL:0000577,
experimentally modified cell in vitro,experimentally modified cell in vitro,CL:0000578,
border follicle cell,border follicle cell,CL:0000579,
neutrophilic myelocyte,neutrophilic myelocyte,CL:0000580,
peritoneal macrophage,peritoneal macrophage,CL:0000581,
neutrophilic metamyelocyte,neutrophilic metamyelocyte,CL:0000582,
alveolar macrophage,alveolar macrophage,CL:0000583,
enterocyte,enterocyte,CL:0000584,
germ cell,germ cell,CL:0000586,
cold sensing thermoreceptor cell,cold sensing thermoreceptor cell,CL:0000587,
odontoclast,odontoclast,CL:0000588,
cochlear inner hair cell,cochlear inner hair cell,CL:0000589,
small luteal cell,small luteal cell,CL:0000590,
warmth sensing thermoreceptor cell,warmth sensing thermoreceptor cell,CL:0000591,
large luteal cell,large luteal cell,CL:0000592,
androgen secreting cell,androgen secreting cell,CL:0000593,
skeletal muscle satellite cell,skeletal muscle satellite cell,CL:0000594,
enucleate erythrocyte,enucleate erythrocyte,CL:0000595,
sexual spore,sexual spore,CL:0000596,
microconidium,microconidium,CL:0000597,
pyramidal neuron,pyramidal neuron,CL:0000598,
conidium,conidium,CL:0000599,
heterokaryon,heterokaryon,CL:0000600,
cochlear outer hair cell,cochlear outer hair cell,CL:0000601,
pressoreceptor cell,pressoreceptor cell,CL:0000602,
dikaryon,dikaryon,CL:0000603,
retinal rod cell,retinal rod cell,CL:0000604,
fungal asexual spore,fungal asexual spore,CL:0000605,
macroconidium,macroconidium,CL:0000606,
ascospore,ascospore,CL:0000607,
zygospore,zygospore,CL:0000608,
vestibular hair cell,vestibular hair cell,CL:0000609,
eosinophil progenitor cell,eosinophil progenitor cell,CL:0000611,
eosinophilic myelocyte,eosinophilic myelocyte,CL:0000612,
basophil progenitor cell,basophil progenitor cell,CL:0000613,
basophilic myelocyte,basophilic myelocyte,CL:0000614,
basidiospore,basidiospore,CL:0000615,
GABAergic neuron,GABAergic neuron,CL:0000617,
sheath cell,sheath cell,CL:0000618,
supporting cell (sensu Nematoda),supporting cell (sensu Nematoda),CL:0000619,
fusion competent myoblast,fusion competent myoblast,CL:0000621,
acinar cell,acinar cell,CL:0000622,
natural killer cell,natural killer cell,CL:0000623,
