Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,marker/1,marker/2,marker/3,marker/4,marker/5,marker/6,marker/7,marker/8,marker/9,marker/10
blood,UBERON:0000178,Megakaryocytes/platelets,CT:0000011,megakaryocyte,CL:0000556,skos:exactMatch,IRX3,VCAM1,TMSB4X,SUCNR1,C6orf223,GUCA1B,PDE3A,C1QL3,NSUN7,GNG11
blood,UBERON:0000178,Memory B cells,CH:0000012,memory B cell,CL:0000787,skos:exactMatch,CD74,HLA-DRB1,IL2,ESM1,RNASE3,KHDRBS3,HLA-DRA,NAT8,GNRH1,TRH
blood,UBERON:0000178,Naive B cells,CH:0000013,naive B cell,CL:0000788,skos:exactMatch,TCL1A,MS4A1,CD74,FCER2,HLA-DRB1,CD37,CD79A,PLPP5,LINC00926,IGHD
blood,UBERON:0000178,Non-classical monocytes,CH:0000014,non-classical monocyte,CL:0000875,skos:exactMatch,FCGR3A,CDKN1C,MS4A7,LST1,TCF7L2,CROCC2,LRRC25,TREML4,SYN1,IGHV4-4
blood,UBERON:0000178,Non-switched memory B cells,CH:0000015,unswitched memory B cell,CL:0000970,skos:exactMatch,HLA-DRA,CD74,AC007952.4,WDR74,GUCA1B,SPOCK1,EPGN,CXCL10,IL17RB,SPOCK3
blood,UBERON:0000178,Plasma cells,CH:0000016,plasma cell,CL:0000786,skos:exactMatch,IGHJ5,DRD4,IGHV4-4,TP63,HBG2,CLCN1,IGHJ6,BRSK1,ATCAY,RPS4Y2
blood,UBERON:0000178,Plasmablasts,CH:0000017,plasmablast,CL:0000980,skos:exactMatch,IGLV3-16,IGLV3-25,IGLVI-70,FAM66D,VASH2,IGLV4-69,KCNE5,TRAV40,GUCA1B,ADGRB1
blood,UBERON:0000178,Regulatory T cells,CH:0000018,regulatory T cell,CL:0000815,skos:exactMatch,S100A4,HLA-DPB1,IGHGP,KLRK1,MT2A,LINC00865,KIAA1614,APOA4,LRRC32,KCNE5
blood,UBERON:0000178,Switched memory B cells,CH:0000019,class switched memory B cell,CL:0000972,skos:exactMatch,S100A4,CD74,JCHAIN,HLA-DRA,S100A10,MS4A1,CHAD,CRIP1,NEFM,CD79A
blood,UBERON:0000178,Tcm/Naive cytotoxic T cells,CH:0000020,"central memory CD8-positive, alpha-beta T cell",CL:0000907,skos:exactMatch,LINC02446,CD8B,CD8A,S100B,CTSW,KLRK1,NELL2,FCER1G,TRDV2,CD79A
blood,UBERON:0000178,Tcm/Naive helper T cells,CH:0000021,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch,CCL5,LTB,B2M,ZNF683,TRDJ1,RPL13,RPL11,RPL39,PLPPR3,TRGJP1
blood,UBERON:0000178,Tem/Effector helper T cells,CH:0000022,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch,S100A4,ANXA1,KLRB1,RPL41,IL32,RPL13A,SH3BGRL3,LTB,AHNAK,ITGB1
blood,UBERON:0000178,Tem/Temra cytotoxic T cells,CH:0000023,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,skos:exactMatch,GNLY,CCL5,GZMH,NKG7,CD8A,GZMB,FGFBP2,S100A4,IL32,CD3E
blood,UBERON:0000178,Tem/Temra helper T cells,CH:0000024,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CL:0001087,skos:exactMatch,CD4,NKG7,CD40LG,GZMH,GNLY,RPS4Y2,KCNE5,C1QL3,CST7,TCAP
blood,UBERON:0000178,Tem/Trm cytotoxic T cells,CH:0000025,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:exactMatch,CCL5,NKG7,GZMK,CST7,IGFBP7,MTRNR2L12,KLRK1,CD8B,CD8A,RPS12
blood,UBERON:0000178,gdT,CH:0000026,gamma-delta T cell,CL:0000798,skos:exactMatch,TRDV2,TRGV9,KLRC1,TRDC,KLRD1,KLRB1,NPTX2,TRGC1,CD247,TRAJ44
blood,UBERON:0000178,pDC,CH:0000027,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch,LRRC26,ASIP,SHD,SCT,KRT5,CUX2,EPHA2,PLVAP,PTCRA,CADM4
bone marrow,UBERON:0002371,Age-associated B cells,CH:0000028,memory B cell,CL:0000787,skos:narrowMatch,FCRL5,SOX5,L1CAM,TRBV12-3,TRDJ1,MACROD2,TRBV10-1,CCR9,RGS7,HPN
bone marrow,UBERON:0002371,CD16+ NK cells,CH:0000029,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch,LINC00299,SPON2,TYROBP,FGFBP2,GZMB,GNLY,SH2D1B,RAMP1,IGFBP7,FCER1G
bone marrow,UBERON:0002371,CD16- NK cells,CH:0000030,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch,ADGRG3,GZMK,TRBV13,TOX2,KLRC1,LDB2,XCL1,TYROBP,DPP9-AS1,TRBV12-3
bone marrow,UBERON:0002371,CD24 neutrophils,CH:0000031,neutrophil,CL:0000775,skos:narrowMatch,CRISP3,CEACAM8,CHIT1,OLFM4,LTF,ATP2C2,MMP8,CRISP2,TFF3,LCN2
bone marrow,UBERON:0002371,CMP,CH:0000032,common myeloid progenitor,CL:0000049,skos:exactMatch,MPO,NPW,IGLL1,BEX1,CRYGD,CPA3,CLDN10,EREG,SHD,LINC01224
bone marrow,UBERON:0002371,CRTAM+ gamma-delta T cells,CH:0000033,gamma-delta T cell,CL:0000798,skos:narrowMatch,KLRD1,KLRC3,KIR3DL2,TRDV1,IKZF2,GCSAM,GZMK,TRGC2,KIR3DL1,ITGAD
bone marrow,UBERON:0002371,Classical monocytes,CH:0000034,classical monocyte,CL:0000860,skos:exactMatch,VCAN,THBS1,CYP1B1,CD14,S100A12,ASGR2,SLC11A1,NCF1,MAFB,CRISPLD2
bone marrow,UBERON:0002371,Cycling T&NK,CH:0000035,lymphocyte,CL:0000542,skos:narrowMatch,STMN1,CDCA8,TRBV12-3,RPS4Y2,CD1E,TRBV10-1,SH2D4B,RASAL1,IFIT1B,WNT16
bone marrow,UBERON:0002371,DC precursor,CH:0000036,common dendritic progenitor,CL:0001029,skos:exactMatch,LYZ,RNASE2,FCER1A,PLD4,PHEX,TRBV10-1,TRBV12-3,KCNE5,PTCRA,TRDJ1
bone marrow,UBERON:0002371,DC1,CH:0000037,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,XCR1,CLEC9A,PPY,TRBV12-3,RASAL1,BATF3,IGLC5,TRDJ1,TRAV24,FBXO27
bone marrow,UBERON:0002371,DC2,CH:0000038,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,MSLN,CD1C,TRDJ1,TRBV10-1,TRBV12-3,RASAL1,TRAV24,ENHO,TRBV12-4,LINC01140
bone marrow,UBERON:0002371,ELP,CH:0000039,early lymphoid progenitor,CL:0000936,skos:exactMatch,DNTT,TRERNA1,TRBV10-1,NEGR1,TRBV12-3,TRAV24,KCNQ3,TRBV12-4,MAG,FKBP1C
bone marrow,UBERON:0002371,ETP,CH:0000040,thymocyte,CL:0000893,skos:exactMatch,ACY3,NPTX2,LINC01251,LINC01475,SPINK2,PRKCG,TRBVB,TRBV12-3,TRBV10-1,TRDJ1
bone marrow,UBERON:0002371,Early MK,CH:0000041,megakaryocyte progenitor cell,CL:0000553,skos:exactMatch,VWF,CLEC1B,PSKH2,PF4,TRBV12-3,CCDC175,ITPKA,ST6GAL2,LTBP1,TRPC6
bone marrow,UBERON:0002371,Early erythroid,CH:0000042,erythroid lineage cell,CL:0000764,skos:narrowMatch,HBD,RBPMS2,FAM178B,RASAL1,TSPO2,CA1,PAQR9,APOC1,INA,SLC4A1
bone marrow,UBERON:0002371,Erythrocytes,CH:0000043,erythrocyte,CL:0000232,skos:exactMatch,ECE2,HEPACAM2,PSG2,SLC26A4,WNK3,TRIM15,TRBV12-3,MYB-AS1,TRDJ1,TRAV24
bone marrow,UBERON:0002371,Follicular helper T cells,CH:0000044,T follicular helper cell,CL:0002038,skos:exactMatch,ADAM23,KLRB1,EPGN,IL2,CH25H,FAM66A,KCNQ3,C8orf37-AS1,TRBV6-4,SOAT2
bone marrow,UBERON:0002371,GMP,CH:0000045,granulocyte monocyte progenitor cell,CL:0000557,skos:exactMatch,C1QTNF4,NPW,C9orf43,CRYGD,GPT2,CFD,WDR49,RPS4Y2,HMSD,CSTA
bone marrow,UBERON:0002371,HSC/MPP,CH:0000046,hematopoietic multipotent progenitor cell,CL:0000837,skos:exactMatch,AVP,SPINK2,MSRB3,HOPX,TCEAL2,CLEC9A,WT1,BEX1,KCNQ2,BAALC
bone marrow,UBERON:0002371,Late erythroid,CH:0000047,erythroid lineage cell,CL:0000764,skos:narrowMatch,IFIT1B,RUNDC3A,TAB3-AS2,TRBV12-3,TRDJ1,TRBV10-1,WNT16,TRAV24,RGS7,RASAL1
bone marrow,UBERON:0002371,MAIT cells,CH:0000048,mucosal invariant T cell,CL:0000940,skos:exactMatch,SLC4A10,CEBPD,TRBV6-4,KLRB1,GZMK,TRAV1-2,KLRG1,NCR3,IL7R,TRAV10
bone marrow,UBERON:0002371,MEMP,CH:0000049,megakaryocyte-erythroid progenitor cell,CL:0000050,skos:exactMatch,PRKAR2B,ITGA2B,TMOD1,GP1BB,FCER1A,GATA1,IL1B,FAM124B,KEL,TRDJ1
bone marrow,UBERON:0002371,Mast cells,CH:0000050,mast cell,CL:0000097,skos:exactMatch,CLC,HDC,MS4A2,MS4A3,PRG2,ENPP3,IL4,IL1RL1,IGLC5,TRBV10-1
bone marrow,UBERON:0002371,Megakaryocyte precursor,CH:0000051,megakaryocyte progenitor cell,CL:0000553,skos:exactMatch,FCER1A,DUOXA2,HBD,CYTL1,HTR1F,CPA3,TRDJ1,SLC10A5,TRBV12-3,TRBV10-1
bone marrow,UBERON:0002371,Megakaryocytes/platelets,CH:0000052,megakaryocyte,CL:0000556,skos:exactMatch,TRBV10-1,TRBV12-3,TRAV24,RASAL1,LINC00989,KCNQ2,TMEM40,TRDJ1,SLC32A1,SCGB1B2P
bone marrow,UBERON:0002371,Memory B cells,CH:0000053,memory B cell,CL:0000787,skos:exactMatch,MS4A1,AIM2,BTNL9,IGHE,CD79A,BANK1,OSBPL10-AS1,SPIB,IGKV2D-28,CD24
bone marrow,UBERON:0002371,Mid erythroid,CH:0000054,erythroid lineage cell,CL:0000764,skos:narrowMatch,CR1L,AHSP,GYPA,LTBP1,CA2,IGLC5,KCNH2,TRBV12-3,CDC20,KRT13
bone marrow,UBERON:0002371,NAMPT neutrophils,CH:0000055,neutrophil,CL:0000775,skos:narrowMatch,MME,PSG2,FCGR3B,CA5A,NAT8L,VAC14-AS1,DNAH5,PDZD3,TRBV12-3,TRBV10-1
bone marrow,UBERON:0002371,Naive B cells,CH:0000056,naive B cell,CL:0000788,skos:exactMatch,TCL1A,IGHD,FCER2,COL19A1,DSP,YBX3,LINC00926,IGLC5,DEFA1B,MYB-AS1
bone marrow,UBERON:0002371,Neutrophil-myeloid progenitor,CH:0000057,neutrophil progenitor cell,CL:0000834,skos:exactMatch,PRSS57,MPO,MS4A3,WNT4,KCNE5,DEFA4,ANXA3,SPINK2,IGLL1,SRGN
bone marrow,UBERON:0002371,Neutrophils,CH:0000058,neutrophil,CL:0000775,skos:exactMatch,TRDJ1,MT-ND3,IGHE,RXFP1,MMP9,LINC00989,IGLC5,RPS26,B2M,RASAL1
bone marrow,UBERON:0002371,Non-classical monocytes,CH:0000059,non-classical monocyte,CL:0000875,skos:exactMatch,PPP1R17,FCGR3A,CSF1R,LIPN,SERPINA1,RUNDC3A,SLC7A7,IGLC5,TRBV12-3,SCGB1B2P
bone marrow,UBERON:0002371,Plasma cells,CH:0000060,plasma cell,CL:0000786,skos:exactMatch,SCNN1B,SPAG4,DPEP1,IGLV3-1,OVOL3,IGHV3-71,SDC1,AMPD1,IGKV1-5,CLDN14
bone marrow,UBERON:0002371,Plasmablasts,CH:0000061,plasmablast,CL:0000980,skos:exactMatch,MYBL2,SHCBP1,IGHE,TP73,RRM2,IGHV3-15,TRBV12-3,TRAV24,TRBV10-1,APOBEC3B
bone marrow,UBERON:0002371,Pro-B cells,CH:0000062,pro-B cell,CL:0000826,skos:exactMatch,DNTT,VPREB1,RAG1,ARPP21,CYGB,RAG2,LINC01013,HMHB1,LCN6,PCAT14
bone marrow,UBERON:0002371,Promyelocytes,CH:0000063,promyelocyte,CL:0000836,skos:exactMatch,MPO,PRTN3,ELANE,LYZ,STEAP1B,TRERNA1,AZU1,CCL24,CCDC154,TRBV10-1
bone marrow,UBERON:0002371,Regulatory T cells,CH:0000064,regulatory T cell,CL:0000815,skos:exactMatch,FOXP3,RTKN2,CTLA4,IL2RA,TRBV6-4,TRDJ1,TRBV12-3,LINGO4,IKZF2,KLC3
bone marrow,UBERON:0002371,Small pre-B cells,CH:0000065,small pre-B-II cell,CL:0000954,skos:exactMatch,CFAP73,BMP3,TRBV12-3,TRBV10-1,RASAL1,ROR1,IGHE,OSBPL10-AS1,SCGB1B2P,WNT16
bone marrow,UBERON:0002371,Tcm/Naive cytotoxic T cells,CH:0000066,"central memory CD8-positive, alpha-beta T cell",CL:0000907,skos:exactMatch,CD8B,CD248,REG4,CD8A,S100B,NELL2,YBX3,IL2,AIF1,KCNQ2
bone marrow,UBERON:0002371,Tcm/Naive helper T cells,CH:0000067,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch,TSHZ2,FHIT,IL7R,CCL5,PSKH2,KCNJ5,PLIN4,ADTRP,MLPH,UBALD2
bone marrow,UBERON:0002371,Tem/Effector helper T cells,CH:0000068,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch,LTB,LGALS1,TNFRSF4,KCNQ2,LMNA,KRT1,ITGB1,KLF2,S100A4,KLRB1
bone marrow,UBERON:0002371,Tem/Temra cytotoxic T cells,CH:0000069,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,skos:exactMatch,GNLY,GZMH,FGFBP2,CD52,TRGC2,CD3D,GZMB,TRAV6,CD3G,PROK2
bone marrow,UBERON:0002371,Tem/Trm cytotoxic T cells,CH:0000070,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:exactMatch,GZMK,CCL5,CD8A,NKG7,CD8B,CST7,CMC1,CCL4,GZMA,CTSW
bone marrow,UBERON:0002371,pDC,CH:0000071,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch,LILRA4,PHEX,PTCRA,NLRP7,TRGV1,TNFSF11,LAMP5,GABRR2,TRBV12-3,EPHB1
bone marrow,UBERON:0002371,pDC precursor,CH:0000072,"plasmacytoid dendritic cell, human",CL:0001058,skos:narrowMatch,IGLL1,FAM66A,SCGB1B2P,BIRC5,MSLN,KCNJ5,CIB2,LINC01224,IGLC5,CD1E
heart,UBERON:0000948,Adipocytes,CH:0000073,adipocyte,CL:0000136,skos:exactMatch,ACACB,AGBL4,CD244,TNNI2,RP11-386G21.1,P2RY13,RP11-115C10.1,SLITRK5,HOXD3,CTD-2263F21.1
heart,UBERON:0000948,Arterial SMC,CH:0000074,vascular associated smooth muscle cell,CL:0000359,skos:exactMatch,C12orf75,ADCYAP1,MYH11,LINC01592,PDCD1,LINC00681,CNN1,FOLH1,PDE4D,MATN1-AS1
heart,UBERON:0000948,Arterial endothelial cells,CH:0000075,endothelial cell of artery,CL:1000413,skos:exactMatch,CLIC3,HEY1,SLC6A6,IGFBP3,PRDM16,NEBL,SERPINE2,VEGFA,ARL15,SYNJ2
heart,UBERON:0000948,Atria-enriched endothelial cells,CH:0000076,cardiac endothelial cell,CL:0010008,skos:narrowMatch,LDB2,PCDH7,TMEM132C,RBMS3,PCDH15,TLR8,NCR1,FCER1A,TBX21,CTD-2553C6.1
heart,UBERON:0000948,Atria-enriched pericytes,CH:0000077,pericyte,CL:0000669,skos:narrowMatch,NPPA,NLGN1,ADH1B,MYL7,NCKAP5,PLPP1,SLIT3,MT2A,CNR1,C7
heart,UBERON:0000948,Atrial cardiomyocytes,CH:0000078,regular atrial cardiac myocyte,CL:0002129,skos:exactMatch,NPPA,TTN,MYH6,RP11-799N11.1,MYL7,CCL14,KLRK1,FASLG,CXCR2,ADORA3
heart,UBERON:0000948,Basic SMC,CH:0000079,smooth muscle cell,CL:0000192,skos:exactMatch,RGS6,PRKG1,MALAT1,CACNA1C,CASQ2,MYH11,PIP5K1B,SLIT3,ZFHX3,PTP4A3
heart,UBERON:0000948,CMC-like endothelial cells,CH:0000080,endothelial cell,CL:0000115,skos:narrowMatch,MYL4,MYL7,NPPA,ACTC1,ANO2,LDB2,TNNT2,RYR2,PITPNC1,TMSB4X
heart,UBERON:0000948,CMC-like pericytes,CH:0000081,pericyte,CL:0000669,skos:narrowMatch,RYR2,TTN,PDGFRB,PLA2G5,MYBPC3,SPARCL1,EPS8,FRMD3,LAMA2,FGF12
heart,UBERON:0000948,Capillary endothelial cells,CH:0000082,capillary endothelial cell,CL:0002144,skos:exactMatch,DNAJB1,B2M,ATF3,EPGN,RP11-528G1.2,NPFFR1,PTPRM,NPPA,VAV3,RP11-1081M5.1
heart,UBERON:0000948,Cytoplasmic cardiomyocytes,CH:0000083,cardiac muscle cell,CL:0000746,skos:narrowMatch,NPPA,RYR2,TTN,MALAT1,RP11-799N11.1,MUSTN1,ADORA3,CTD-2553C6.1,MT-CO3,LAMA2
heart,UBERON:0000948,Fibroblast-like endothelial cells,CH:0000084,endothelial cell,CL:0000115,skos:narrowMatch,LAMA2,PKHD1L1,NEGR1,ST6GALNAC3,LDB2,DCN,MALAT1,CDH19,THBS1,ABCA8
heart,UBERON:0000948,Fibroblasts,CH:0000085,fibroblast,CL:0000057,skos:exactMatch,LAMA2,RP11-1081M5.1,NEGR1,ADCYAP1,CCL14,DCLK3,DCN,ACSM3,RORA,SOX18
heart,UBERON:0000948,Immune-related endothelial cells,CH:0000086,endothelial cell,CL:0000115,skos:narrowMatch,BIRC3,CCL2,CTD-2369P2.5,ICAM1,CX3CL1,CXCL1,IL32,RP11-799N11.1,RP11-331K21.1,FASLG
heart,UBERON:0000948,Lymphatic endothelial cells,CH:0000087,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,FASLG,ANGPT4,CCL21,CCR6,LINC01198,RP11-115C10.1,RD3,RP11-386G21.1,FOLH1,P2RY13
heart,UBERON:0000948,Lymphoid,CH:0000088,lymphocyte,CL:0000542,skos:exactMatch,B2M,SLFN14,ANGPT4,SERPINA5,NKG7,SALL1,LINC01558,RP11-799N11.1,CTD-2553C6.1,ADCYAP1
heart,UBERON:0000948,MT-high fibroblasts,CH:0000089,fibroblast,CL:0000057,skos:narrowMatch,LUM,S1PR2,TMEM255A,S100A4,SERPINA5,FOLH1,MAP3K14-AS1,PDGFRA,RP11-989F5.1,RP11-413B19.2
heart,UBERON:0000948,Mast cells,CH:0000090,mast cell,CL:0000097,skos:exactMatch,WNT10B,NTM,CAMP,RP11-115C10.1,FFAR2,RP11-2E11.9,PRSS12,ADORA3,RP11-989F5.1,C4orf50
heart,UBERON:0000948,Mesothelial cells,CH:0000091,mesothelial cell,CL:0000077,skos:exactMatch,CCL14,RP11-413B19.2,SALL1,FASLG,GPR19,RP11-1055B8.3,MEFV,LINC01374,RP11-553L6.2,RP11-799N11.1
heart,UBERON:0000948,Myeloid,CH:0000092,myeloid cell,CL:0000763,skos:exactMatch,ADORA3,RBPJ,TREML1,FOLH1,ANKRD22,C6orf163,RP11-799N11.1,STMN1,CCL14,CLEC4D
heart,UBERON:0000948,NK cells,CH:0000093,natural killer cell,CL:0000623,skos:exactMatch,AKR1C3,PTGDS,LINC00299,RP11-413B19.2,ADORA3,HOXD3,GLOD5,RP11-989F5.1,RP11-386G21.1,DRP2
heart,UBERON:0000948,Neuronal cells,CH:0000094,Schwann cell,CL:0002573,skos:narrowMatch,NRXN1,NRXN3,NCR1,FCER1A,ADORA3,RP5-1073O3.2,DCLK3,RP11-799N11.1,FOLH1,CXCR2
heart,UBERON:0000948,Stromal pericytes,CH:0000095,pericyte,CL:0000669,skos:narrowMatch,IFI27,PRKG1,NDUFA4L2,DLC1,AGT,IGFBP7,TMSB10,ACTB,CD74,TAGLN
heart,UBERON:0000948,Venous endothelial cells,CH:0000096,vein endothelial cell,CL:0002543,skos:exactMatch,PLVAP,SLCO2A1,RP4-678D15.1,TGFBR3,FAM155A,TSHZ2,PLAT,FLRT2,VCAM1,COL15A1
heart,UBERON:0000948,Ventricle-enriched pericytes,CH:0000097,pericyte,CL:0000669,skos:narrowMatch,DLC1,CALM2,RPL18A,RPL9,COX6A1,RAD51B,IFITM1,CD36,CD59,FXYD6
heart,UBERON:0000948,Ventricular cardiomyocytes,CH:0000098,regular ventricular cardiac myocyte,CL:0002131,skos:exactMatch,TTN,MALAT1,RYR2,CTD-2050E21.2,MYBPC3,FHL2,RP11-305P14.1,CACNA1C,SLC6A3,SMIM11A
hippocampus,UBERON:0002421,Arterial SMC,CH:0000099,vascular associated smooth muscle cell,CL:0000359,skos:exactMatch,DES,SNX20,IRX1,RASSF10,IBSP,RD3,HNRNPUL2-BSCL2,AGR3,GRHL3,LRRC25
hippocampus,UBERON:0002421,CA ACVR1C ExN,CH:0000100,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,NRG1,NRXN3,CADPS2,PCDH15,NPAS4,COL24A1,CKS2,KCNC2,GREB1L,GRIA1
hippocampus,UBERON:0002421,CA GLYATL1 ExN,CH:0000101,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,TMSB10,THSD7A,CCDC85B,POU4F1,RPS21,RPS12,HPCA,RASSF10,LILRA1,DYNLL1
hippocampus,UBERON:0002421,CA GRIK1 ExN,CH:0000102,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,ACTB,KCNMB2,CALM1,COL5A2,LILRA1,TTR,NKX2-8,SERPINA1,NCAM2,TENM2
hippocampus,UBERON:0002421,CA/Sub COBLL1 ExN,CH:0000103,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,TSHZ2,HS3ST4,DPP10,COL25A1,ASIC2,SLC35F4,COBLL1,SMYD1,CELF2,TOX
hippocampus,UBERON:0002421,CA/Sub CUX2 ExN,CH:0000104,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,LINGO2,PTPRK,CUX2,CDH9,MEPE,ADAMTS3,RGS6,GRHL3,MEF2C,LILRA1
hippocampus,UBERON:0002421,CA/Sub GFRA1 ExN,CH:0000105,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,ADAM2,ERBB4,CSN1S1,GRM8,CNTN5,GFRA1,ETV1,PTPRT,LRRC25,COL24A1
hippocampus,UBERON:0002421,CA/Sub KCNK13 ExN,CH:0000106,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,CYP26A1,PTK6,APOBR,PRPH,GRHL3,FAM83B,ANXA10,KRT17,CTAGE1,ROS1
hippocampus,UBERON:0002421,CA/Sub PXDN ExN,CH:0000107,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,ADAMTSL1,MMP3,MS4A4E,NOD2,POU4F1,TSPAN32,OR52K1,FCAR,SNX20,JCHAIN
hippocampus,UBERON:0002421,CA/Sub TRPC3 ExN,CH:0000108,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,CD200R1L,LMNTD2,IL26,RASSF10,SERPINA1,LRRC25,CA6,FOLR2,NKX6-3,TYRP1
hippocampus,UBERON:0002421,CA3 FGF5 ExN,CH:0000109,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,TRHDE,SDK1,FGF5,DMRTA1,SIX3,PDZRN4,CSN1S1,LGR6,POU4F1,SCGN
hippocampus,UBERON:0002421,CD83+ microglia,CH:0000110,mature microglial cell,CL:0002629,skos:narrowMatch,CD83,EGR3,CCL4L2,CCL4,CCL3,NR4A3,OLR1,PDK4,CD163,SRGN
hippocampus,UBERON:0002421,COP,CH:0000111,oligodendrocyte precursor cell,CL:0002453,skos:exactMatch,GPR17,BMPER,SERPINA1,MEPE,FCGR2B,NKX2-8,FOLR2,GRHL3,SP5,TNFSF15
hippocampus,UBERON:0002421,Endothelial cells,CH:0000112,endothelial cell,CL:0000115,skos:exactMatch,EPAS1,CLDN5,FLT1,SCTR,CPLX3,ANXA9,IGFBP7,RD3,B2M,OR52K1
hippocampus,UBERON:0002421,Ependymal cells,CH:0000113,ependymal cell,CL:0000065,skos:exactMatch,LRRC25,FCGR2B,TOR4A,OR6J1,IRX3,GDF6,CPSF4L,DMBT1,RASSF10,CSN1S1
hippocampus,UBERON:0002421,GFAP high astrocytes,CH:0000114,hippocampal astrocyte,CL:0002604,skos:narrowMatch,DPP10,GPC5,DCLK1,SLC1A2,TNC,CTNND2,RGS6,DPP6,LSAMP,PITPNC1
hippocampus,UBERON:0002421,GFAP low astrocytes,CH:0000115,hippocampal astrocyte,CL:0002604,skos:narrowMatch,CABLES1,COL5A3,SLC14A1,TPD52L1,PLCB1,SLC1A2,RERG,CTNNA3,PARD3,GNA14
hippocampus,UBERON:0002421,LAMP5 CHST9 InN,CH:0000116,hippocampal interneuron,CL:1001569,skos:narrowMatch,CHST9,NKX2-8,HCRTR2,SFTA3,P2RX1,LILRA1,SNX20,LAMP5,CSN1S1,NKX2-1
